art_form_id,art_form_name,language,source,created,created_by,last_modified,last_modified_by
AF01,painting,en,http://www.getty.edu/vow/AATFullDisplay?find=painting&logic=AND&note=&subjectid=300033618,2018-02-09,OS,2018-03-02,MG
AF02,movie,en,http://www.getty.edu/vow/AATFullDisplay?find=movie&logic=AND&note=&subjectid=300136900,2018-02-09,OS,2018-03-02,MG
AF03,play,en,http://www.getty.edu/vow/AATFullDisplay?find=play&logic=AND&note=&page=1&subjectid=300201028,2018-02-09,OS,2018-03-02,MG
AF04,opera,en,http://www.getty.edu/vow/AATFullDisplay?find=opera&logic=AND&note=&subjectid=300054147,2018-02-09,OS,2018-03-02,MG
AF05,music,en,http://www.getty.edu/vow/AATFullDisplay?find=Music&logic=AND&note=&subjectid=300054146,2018-02-09,OS,2018-03-02,MG
AF06,calligraphy,en,http://www.getty.edu/vow/AATFullDisplay?find=calligraphy&logic=AND&note=&english=N&prev_page=1&subjectid=300266660,2018-11-04,WH,2018-11-04,WH
AF07,ballet,en,http://www.getty.edu/vow/AATFullDisplay?find=ballet&logic=AND&note=&english=N&prev_page=1&subjectid=300389780,2018-11-06,WH,2018-11-17,WH
AF08,sculpture,en,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047090,2018-12-17,MG,2018-12-17,MG
AF09,political poster,en,http://www.getty.edu/vow/AATFullDisplay?find=poster&logic=AND&note=&english=N&prev_page=1&subjectid=300201080,2019-02-17,WH,2019-02-17,WH
AF10,architecture,en,http://www.getty.edu/vow/AATFullDisplay?find=architecture&logic=AND&note=&english=N&prev_page=1&subjectid=300054156,2021-07-10,MG,2021-07-10,MG
AF99,unknown,en,http://none,2018-10-18,WH,2018-10-30,MG
