action_ID,action_name,note,created,created_by,last_modified,last_modified_by
AT01,to read,,2017-07-12,OS,2017-07-12,OS
AT02,to copy by hand  (shouchao),,2017-07-12,OS,2018-01-23,LH
AT03,to hand/send over (to sb) ,,2017-07-12,OS,2018-02-28,OS
AT04,to take as ideal / guide,,2017-07-19,LH,2017-07-19,LH
AT05,to mention,,2018-01-25,MG,2018-01-25,MG
AT06,to plan to edit texts / quotations by,,2017-07-27,LH,2017-07-27,LH
AT09,to memorize,,2017-07-28,LH,2018-01-25,MG
AT10,to compile / edit texts / quotations by,,2017-08-01,LH,2017-08-01,LH
AT11,to translate,,2017-09-06,CW,2017-09-06,CW
AT12,to have the text confiscated,,2017-09-06,CW,2017-09-06,CW
AT13,to write,,2017-09-29,MG,2017-09-29,MG
AT14,to destroy,,2017-10-14,CW,2017-10-14,CW
AT15,to contemplate,,2018-01-30,MG,2018-01-30,MG
AT16,to be influenced by,,2018-02-03,OS,2018-02-03,OS
AT17,to recite,,2018-02-05,OS,2018-02-05,OS
AT18,to try to obtain,,2018-02-06,OS,2018-02-06,OS
AT19,to discuss,,2018-02-08,OS,2018-02-08,OS
AT20,to perform,e.g. a play,2018-02-09,OS,2018-02-09,OS
AT21,to quote,,2018-02-09,OS,2018-02-09,OS
AT22,to remember ,,2018-02-13,OS,2018-02-13,OS
AT23,to listen to,,2018-03-23,MG,2018-03-23,MG
AT24,to be blocked from reading,,2018-04-11,WH,2018-04-13,WH
AT25,to be aroused think about something,,2018-05-02,WH,2018-05-02,WH
AT26,to like,,2018-10-16,LH,2018-10-16,LH
AT27,to borrow,,2018-10-16,LH,2018-10-16,LH
AT28,to watch,e.g. a movie or a play,2018-05-31,DM,2018-05-31,DM
