old_id,space_name,name_lang,created,created_by,last_modified,last_modified_by
L0001,library,en,2018-07-23,MG,2018-07-23,MG
L0002,prison,en,2018-07-23,MG,2018-07-23,MG
L0003,book store,en,2018-07-30,MG,2018-07-30,MG
L0004,session of international intelligence experts,en,2020-02-24,MG,2020-02-24,MG
L0005,rural middle school,en,2020-05-28,MG,2020-05-28,MG
L0010,the State,en,2021-03-12,MG,2021-03-12,MG
L0011,restaurant,en,2021-06-12,MG,2021-06-12,MG
L0012,lecture hall,en,2021-06-12,MG,2021-06-12,MG
L0013,zhang li river,en,2021-06-14,MG,2021-06-14,MG
L0014,university,en,2021-07-09,MG,2021-07-09,MG
